date,case
14/05/2021,4600
15/05/2021,4911
16/05/2021,5310
17/05/2021,5688
18/05/2021,6058
19/05/2021,6390
20/05/2021,6716
21/05/2021,7113
22/05/2021,7420
23/05/2021,7737
24/05/2021,7990
25/05/2021,8299
26/05/2021,8527
27/05/2021,8742
28/05/2021,8897
29/05/2021,9056
30/05/2021,9158
31/05/2021,9218
01/06/2021,9232
02/06/2021,9220
03/06/2021,9169
04/06/2021,9069
05/06/2021,8932
06/06/2021,8761
07/06/2021,8560
08/06/2021,8321
09/06/2021,8056
10/06/2021,7768
11/06/2021,7461
12/06/2021,7134
